No,Family,Method,Venue,Objective,Index,Unit,Benchmarks,Contribution,Code,BibKey,Added_2025_2026
1,Screenshot embedding (one vector per page),DSE,EMNLP'24,Page retrieval,single,page,"Wiki-SS, SlideVQA",Rendered page as one dense vector.,,ma2024dse,
2,Screenshot embedding (one vector per page),VisRAG,ICLR'25,Retrieval + QA,single,page,"ArxivQA, DocVQA, ChartQA, SlideVQA, InfoVQA, MP-DocVQA","VLM embedder and reader, no parsing.",https://github.com/openbmb/visrag,yuvisrag2025,
3,Screenshot embedding (one vector per page),VisRAG 2.0,arXiv'25,Multi-image reasoning,,,,Successor with evidence-guided multi-image reasoning.,https://github.com/OpenBMB/VisRAG,sun2025visrag2,
4,Screenshot embedding (one vector per page),One-Screenshot retrieval,ACL'25,Unified search,,screenshot,,Any content rendered as one screenshot for unified search.,,liu2025screenshot,yes
5,Screenshot embedding (one vector per page),GlobalDoc,WACV'25,Retrieval + classification,,,,Cross-modal framework for real-world document image retrieval and classification.,,globaldoc2025wacv,yes
6,Late interaction (many vectors per page),ColPali,ICLR'25,Page retrieval,multi,page,"ViDoRe, TabFQuAD, DocVQA, ArxivQA, InfoVQA",Patch vectors scored by MaxSim.,https://github.com/illuin-tech/colpali,fayssecolpali2025,
7,Late interaction (many vectors per page),ColFlor,MLSP'25,Small retriever,multi,page,,BERT-size retriever.,https://github.com/AhmedMasryKU/colflor,masry2025colflor,
8,Late interaction (many vectors per page),ColMate,EMNLP'25,Retriever training,multi,page,"ViDoRe, ViDoRe V2",Document-adapted training objective.,,masry2025colmate,
9,Late interaction (many vectors per page),ModernVBERT,ICML'26,Small retriever,,,ViDoRe,Compact bidirectional encoder.,https://github.com/illuin-tech/modernvbert,teiletche2025modernvbert,
10,Late interaction (many vectors per page),VLM2Vec-V2,arXiv'25,General embedding,,,"ViDoRe, MMEB, MMLongBench-Doc, ViDoSeek, InfoVQA, ChartQA",General multimodal embedder.,,meng2025vlm2vecv2,
11,Late interaction (many vectors per page),Serval,EMNLP'25,Zero-shot retrieval,,,"ViDoRe, MIRACL-Vision","Zero-shot, no task-specific training.",https://github.com/thongnt99/serval,nguyen2025serval,
12,Late interaction (many vectors per page),MetaEmbed,ICLR'26,Adaptive cost,"multi, adaptive",page,"MMEB, ViDoRe, ViDoRe V2",Test-time choice of vector count.,https://github.com/facebookresearch/MetaEmbed,xiaometaembed2026,
13,Late interaction (many vectors per page),Nemotron ColEmbed,arXiv'26,Page retrieval,multi,page,"ViDoRe V3, ViDoRe, MIRACL-Vision",Industrial report.,,moreira2026nemotroncolembed,
14,Late interaction (many vectors per page),LILaC,EMNLP'25,Multihop retrieval,multi,,"SlideVQA, MP-DocVQA, InfoVQA","Late interaction over a layered component graph, multihop.",,lilac2025emnlp,yes
15,Late interaction (many vectors per page),Evo-Retriever,CVPR'26,Retriever training,,,"ViDoRe V2, MMEB, ViDoRe",LLM-guided curriculum for multimodal document retrieval.,,evoretriever2026cvpr,yes
16,Late interaction (many vectors per page),ReAlign,SIGIR'26,Retriever training,,,"DocVQA, InfoVQA, SlideVQA, ChartQA, ArxivQA, VisualMRC",Reasoning-guided fine-grained alignment of the retriever.,https://github.com/NEUIR/ReAlign,realign2026sigir,yes
17,Late interaction (many vectors per page),AGREE,SIGIR'26,Retriever training,,,"ViDoRe, ViDoRe V2",Attention-grounded enhancement of visual document retrieval.,https://github.com/VickiCui/AGREE,agree2026sigir,yes
18,Late interaction (many vectors per page),POQD,ICML'25,Query decomposition,multi,,WebQA,Performance-oriented query decomposition.,https://github.com/PKU-SDS-lab/POQD-ICML25,poqd2025icml,yes
19,Index compression and efficiency,HEAVEN,ACL'26,Efficiency,"single, then multi",page,"OpenDocVQA, M3DocVQA, LongDocURL, ViDoSeek, VisR-Bench, MMDocIR",Single- then multi-vector stage.,https://github.com/juyeonnn/HEAVEN,hybridvector2025,
20,Index compression and efficiency,Storage-efficient VDR,ACL'25,Index size,"multi, reduced",page,"ViDoRe, DocVQA, InfoVQA, MMLongBench-Doc, ChartQA",Empirical study of reducing patch-level embeddings.,,storageeff2025acl,yes
21,Index compression and efficiency,Prune-then-Merge,ACL'26,Index size,"multi, merged",page,"ViDoRe, REAL-MM-RAG, MMLongBench-Doc, ViDoSeek, InfoVQA, TabFQuAD","Prunes, then merges patch vectors.",,prunemerge2026acl,yes
22,Index compression and efficiency,LightSTAR,ECCV'26,Efficiency,,,ViDoRe,Lightweight selection with vision-adaptive refinement.,https://github.com/bokufa/LightSTAR,lightstar2026eccv,yes
